id_book,title,link_book
0,Theo dòng tình yêu - Sói Xám Mọc Cánh,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/927-theo-dong-tinh-yeu.html
1,Yêu em là điều tốt nhất anh đã làm - Sênh Lý,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/926-yeu-em-la-dieu-tot-nhat-anh-da-lam.html
2,Mắt híp và môi cuốn lô - Nguyễn Thu Thủy,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/923-mat-hip-va-moi-cuon-lo.html
3,Thất tịch không mưa - Lâm Vũ Tình,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/921-that-tich-khong-mua.html
4,Mong ước lâu bền - Trúc Âm,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/920-mong-uoc-lau-ben.html
5,Mùa hè xa xôi - Nhân Gian Tiểu Khả,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/919-mua-he-co-don.html
6,Dạ Ngưng Tịch - Phi Yên ,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/918-da-ngung-tich.html
7,Khi anh gặp em - Vô Xứ khả Đào,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/917-khi-anh-gap-em.html
8,Mảnh hành tây nào không rơi lệ - Điền Phản,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/916-manh-hanh-tay-nao-khong-roi-le.html
9,33 ngày thất tình - Bào Kình Kình,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/915-33-ngay-that-tinh.html
10,Truyện không ngắn Lea - Dạ Ly,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/908-truyen-khong-ngan-lea.html
11,Thiên thần sa ngã - Tào Đình,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/907-thien-than-sa-nga.html
12,Bùn loãng cũng có thể trát tường - Vô Tụ Đinh Hương,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/905-bun-loang-cung-co-the-trat-tuong.html
13,Một đời một kiếp - Mặc Bảo Phi Bảo,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/896-mot-doi-mot-kiep.html
14,Nắng gắt - Cố Mạn,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/895-nang-gat.html
15,"Gần như vậy, xa đến thế - Tình Không Làm Hề",https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/893-gan-nhu-vay-xa-den-the.html
16,Hoa hồng giấy - Lâm Địch Nhi,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/891-hoa-hong-giay.html
17,Nhà nàng ở cạnh nhà tôi - Lini Thông Minh,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/878-nha-nang-o-canh-nha-toi.html
18,12 chòm sao và ngôi trường sát thủ - Verika,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/877-12-chom-sao-va-ngoi-truong-sat-thu.html
19,Tình yêu gõ cửa lúc nào em chẳng hay - TY,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/875-tinh-yeu-go-cua-luc-nao-em-chang-hay.html
20,36 chiêu ly hôn - Thủy Tụ Nhân Gia,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/873-36-chieu-ly-hon.html
21,Dục vọng đen tối - Thánh Yêu,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/866-duc-vong-den-toi.html
22,Nợ em một đời hạnh phúc - Phỉ Ngã Tư Tồn,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/863-no-em-mot-doi-hanh-phuc.html
23,Tình yêu thứ ba - Tự Do Hành Tẩu,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/862-tinh-yeu-thu-ba.html
24,Tường vi đêm đầu tiên - Minh Hiểu Khê,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/856-tuong-vi-dem-dau-tien.html
25,"Chào anh, đồng chí Trung tá - Scotland Chiết Nhĩ Miêu",https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/853-chao-anh-dong-chi-trung-ta.html
26,Điệp vụ kết hôn - Bồng Vũ,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/848-diep-vu-ket-hon.html
27,Anh yêu em rất nhiều - Cố Tô Lan,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/832-anh-yeu-em-rat-nhieu.html
28,Sai lầm nối tiếp - Lam Bạch Sắc,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/828-sai-lam-noi-tiep.html
29,Gửi thương cho gió - Nhật ký Tiểu Hồ Ly,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/823-gui-thuong-cho-gio.html
30,"Mẹ lưu manh, con thiên tài - Quỷ Miêu Tử",https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/797-me-luu-manh-con-thien-tai.html
31,Hoàng tử lạnh lùng và cô bé lanh chanh - Sandy,https://m.truyenngan.com.vn/tieu-thuyet/truyen-ngon-tinh-hien-dai/794-hoang-tu-lanh-lung-va-co-be-lanh-chanh.html
